Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      Egz.      
VardasNr1           PavardeNr1          8         6         10        5         6         7         7         10        10        5         9         6         6         7         7         1         3         10        
VardasNr2           PavardeNr2          5         3         10        10        5         1         1         5         10        6         4         5         4         6         9         1         3         10        
VardasNr3           PavardeNr3          1         10        10        9         5         10        8         8         6         7         7         3         8         8         1         2         4         4         
VardasNr4           PavardeNr4          8         7         10        7         7         2         7         9         3         4         3         5         10        3         2         2         7         10        
VardasNr5           PavardeNr5          10        3         4         3         9         1         7         9         7         9         8         1         10        9         2         8         8         7         
VardasNr6           PavardeNr6          7         4         1         8         5         3         3         6         6         8         4         4         9         8         7         4         9         4         
VardasNr7           PavardeNr7          3         9         10        10        8         6         10        7         5         5         6         9         10        9         9         9         9         6         
VardasNr8           PavardeNr8          7         6         4         3         10        6         8         6         2         2         1         7         7         4         2         3         8         1         
VardasNr9           PavardeNr9          5         4         6         6         10        4         4         4         1         1         4         4         4         1         10        5         2         3         
VardasNr10          PavardeNr10         8         7         6         4         10        5         1         8         2         1         8         3         4         10        10        5         2         3         
VardasNr11          PavardeNr11         8         2         6         2         5         10        8         2         3         9         3         7         6         9         8         8         3         1         
VardasNr12          PavardeNr12         6         2         5         6         10        6         1         9         8         4         9         3         9         6         1         4         5         6         
VardasNr13          PavardeNr13         8         8         3         3         2         4         5         1         9         4         9         8         10        2         6         7         8         5         
VardasNr14          PavardeNr14         3         10        1         10        2         1         2         1         3         4         2         6         2         9         1         4         4         2         
VardasNr15          PavardeNr15         9         6         7         7         5         6         1         3         7         9         6         9         2         9         5         8         10        9         
VardasNr16          PavardeNr16         1         10        3         3         4         7         10        9         3         4         9         7         9         1         1         8         8         8         
VardasNr17          PavardeNr17         3         6         10        2         9         1         7         3         2         6         3         9         6         2         7         9         3         8         
VardasNr18          PavardeNr18         7         4         7         6         8         6         2         6         10        3         3         4         7         10        4         1         7         7         
VardasNr19          PavardeNr19         3         10        10        8         3         2         2         9         8         10        10        10        7         2         8         6         4         3         
VardasNr20          PavardeNr20         4         6         9         10        5         6         9         2         1         8         10        7         10        3         7         6         9         2         
VardasNr21          PavardeNr21         3         9         10        3         5         5         9         1         10        8         1         10        7         9         9         6         1         7         
VardasNr22          PavardeNr22         7         3         8         8         4         8         7         3         8         6         5         7         10        5         7         9         9         5         
VardasNr23          PavardeNr23         6         1         6         7         4         4         9         5         9         7         3         9         6         6         3         9         1         2         
VardasNr24          PavardeNr24         2         9         8         7         5         3         4         7         1         5         7         3         8         8         3         4         5         8         
VardasNr25          PavardeNr25         3         10        9         1         7         6         6         9         4         8         3         8         10        6         6         8         10        3         
VardasNr26          PavardeNr26         7         1         9         4         8         6         4         7         1         6         2         1         9         10        10        2         6         7         
VardasNr27          PavardeNr27         9         1         3         10        4         7         9         9         6         4         8         10        2         4         7         7         3         8         
VardasNr28          PavardeNr28         6         7         5         5         10        8         10        10        4         3         8         4         6         4         1         4         2         5         
VardasNr29          PavardeNr29         3         6         3         6         4         7         10        8         9         2         7         2         10        8         6         10        6         5         
VardasNr30          PavardeNr30         9         7         10        8         5         2         4         1         5         3         4         8         5         7         4         3         6         6         
VardasNr31          PavardeNr31         8         3         7         2         3         6         4         4         6         10        4         2         2         9         3         2         4         1         
VardasNr32          PavardeNr32         10        5         4         1         9         9         10        3         8         6         4         10        4         3         2         8         9         9         
VardasNr33          PavardeNr33         6         4         4         10        1         3         10        1         4         3         5         2         9         10        1         4         7         5         
VardasNr34          PavardeNr34         6         3         7         7         1         10        7         3         7         10        5         10        3         3         5         3         7         9         
VardasNr35          PavardeNr35         7         8         1         5         8         1         1         3         2         9         5         9         2         10        4         6         1         4         
VardasNr36          PavardeNr36         5         10        7         9         10        6         8         3         9         5         7         5         6         4         10        7         5         9         
VardasNr37          PavardeNr37         4         9         1         4         9         4         10        9         1         6         7         9         5         2         9         4         5         10        
VardasNr38          PavardeNr38         6         8         6         5         3         9         6         2         3         1         8         10        4         8         8         2         1         8         
VardasNr39          PavardeNr39         3         6         2         6         9         1         5         1         6         3         8         9         10        7         9         1         10        10        
VardasNr40          PavardeNr40         8         10        5         10        10        4         9         10        5         6         9         4         2         4         3         10        8         3         
VardasNr41          PavardeNr41         4         9         4         10        6         3         10        10        10        3         5         1         4         6         2         7         3         3         
VardasNr42          PavardeNr42         3         7         1         6         9         7         1         6         3         10        7         10        5         10        10        4         6         5         
VardasNr43          PavardeNr43         7         10        5         2         4         6         7         9         8         7         7         8         8         8         1         10        6         2         
VardasNr44          PavardeNr44         7         4         10        5         6         6         10        7         9         6         8         3         7         3         5         5         6         2         
VardasNr45          PavardeNr45         3         2         1         7         9         2         10        2         5         5         3         6         6         3         5         5         5         7         
VardasNr46          PavardeNr46         7         10        7         7         4         2         10        8         5         7         10        2         5         1         7         3         9         10        
